fid,cngdegrees,x,y
"0",0.0544379900000002,-140.0060929131,60.2011786294
"0",0.0547074850000002,-140.0058634093,60.2013160662
"0",0.0549769800000002,-140.0055968536,60.2013176709
"0",0.0552464750000002,-140.0053332269,60.2012619257
"0",0.0555159700000002,-140.0050686151,60.2012108596
"0",0.0557854650000002,-140.0048207740,60.2011130179
"0",0.0560549600000002,-140.0046813521,60.2008876144
"0",0.0563244550000002,-140.0044545388,60.2007476482
"0",0.0565939500000002,-140.0042026395,60.2006521248
"0",0.0568634450000002,-140.0039412524,60.2005886239
"0",0.0571329400000002,-140.0036751247,60.2005483763
"0",0.0574024350000002,-140.0034071484,60.2005239632
"0",0.0576719300000002,-140.0031419212,60.2004763187
"0",0.0579414250000002,-140.0028755184,60.2004358215
"0",0.0582109200000002,-140.0026081336,60.2004023953
"0",0.0584804150000002,-140.0023392167,60.2003861109
"0",0.0587499100000002,-140.0020729613,60.2003553676
"0",0.0590194050000002,-140.0020562183,60.2001423770
"0",0.0592889000000002,-140.0022444678,60.1999528161
"0",0.0595583950000002,-140.0024800241,60.1998239712
"0",0.0598278900000002,-140.0027389139,60.1997514596
"0",0.0600973850000002,-140.0030025208,60.1996986393
"0",0.0603668800000002,-140.0032658303,60.1996416341
"0",0.0606363750000002,-140.0035292606,60.1995974814
"0",0.0609058700000003,-140.0037983584,60.1996055761
"0",0.0611753650000003,-140.0040670180,60.1996267737
"0",0.0614448600000003,-140.0043349316,60.1996233289
"0",0.0617143550000003,-140.0041764371,60.1994817918
"0",0.0619838500000003,-140.0039186558,60.1994035264
"0",0.0622533450000003,-140.0036628423,60.1993192368
"0",0.0625228400000003,-140.0035961077,60.1991504893
"0",0.0627923350000003,-140.0038542074,60.1991097226
"0",0.0630618300000002,-140.0041231608,60.1991080415
"0",0.0633313250000002,-140.0041469171,60.1989661055
"0",0.0636008200000002,-140.0038996877,60.1988603059
"0",0.0638703150000002,-140.0036347525,60.1988145363
"0",0.0641398100000002,-140.0033699760,60.1987676518
"0",0.0644093050000002,-140.0032684552,60.1985666641
"0",0.0646788000000002,-140.0031904555,60.1983297226
"0",0.0649482950000002,-140.0029603910,60.1981911920
"0",0.0652177900000002,-140.0027939355,60.1980171860
"0",0.0654872850000002,-140.0030064160,60.1978887976
"0",0.0657567800000002,-140.0032701240,60.1978420704
"0",0.0660262750000002,-140.0034212759,60.1976446343
"0",0.0662957700000002,-140.0032437510,60.1974915621
"0",0.0665652650000002,-140.0031261407,60.1973287482
"0",0.0668347600000002,-140.0032706455,60.1971187908
"0",0.0671042550000002,-140.0030497902,60.1969690825
"0",0.0673737500000002,-140.0031004041,60.1967337886
"0",0.0676432450000002,-140.0032997851,60.1965524747
"0",0.0679127400000002,-140.0034965624,60.1963684413
"0",0.0681822350000001,-140.0035714564,60.1961582348
"0",0.0684517300000001,-140.0033135253,60.1961034866
"0",0.0687212250000001,-140.0030486148,60.1960564542
"0",0.0689907200000001,-140.0027970741,60.1959622948
"0",0.0692602150000001,-140.0025526881,60.1958488612
"0",0.0695297100000001,-140.0022918601,60.1957829240
