fid,cngdegrees,x,y
"0",0.0347648550000001,-140.6064892534,60.3135803426
"0",0.0350343500000001,-140.6062229121,60.3135392346
"0",0.0353038450000001,-140.6059565708,60.3134981265
"0",0.0355733400000001,-140.6056902295,60.3134570184
"0",0.0358428350000001,-140.6054229061,60.3134251971
"0",0.0361123300000001,-140.6051538579,60.3134096852
"0",0.0363818250000001,-140.6048848097,60.3133941733
"0",0.0366513200000001,-140.6046179237,60.3133695871
"0",0.0369208150000001,-140.6043707892,60.3132621064
"0",0.0371903100000001,-140.6041236547,60.3131546258
"0",0.0374598050000001,-140.6038765201,60.3130471451
"0",0.0377293000000001,-140.6036293856,60.3129396645
"0",0.0379987950000001,-140.6033822511,60.3128321838
"0",0.0382682900000001,-140.6031344279,60.3127267214
"0",0.0385377850000001,-140.6028731427,60.3126607094
"0",0.0388072800000001,-140.6026118575,60.3125946974
"0",0.0390767750000001,-140.6023505722,60.3125286854
"0",0.0393462700000001,-140.6020892870,60.3124626734
"0",0.0396157650000001,-140.6018280018,60.3123966614
"0",0.0398852600000001,-140.6015667165,60.3123306494
"0",0.0401547550000001,-140.6013054313,60.3122646375
"0",0.0404242500000001,-140.6010441461,60.3121986255
"0",0.0406937450000001,-140.6007768447,60.3121738874
"0",0.0409632400000001,-140.6005075876,60.3121625664
"0",0.0412327350000001,-140.6002383305,60.3121512455
"0",0.0415022300000001,-140.5999690734,60.3121399245
"0",0.0417717250000001,-140.5996998162,60.3121286036
"0",0.0420412200000001,-140.5994305591,60.3121172827
"0",0.0423107150000001,-140.5991630406,60.3120934111
"0",0.0425802100000001,-140.5989008447,60.3120311141
"0",0.0428497050000001,-140.5986386489,60.3119688172
"0",0.0431192000000001,-140.5983764531,60.3119065203
"0",0.0433886950000002,-140.5981489815,60.3117648918
"0",0.0436581900000002,-140.5979253329,60.3116145295
"0",0.0439276850000002,-140.5978837235,60.3113673757
"0",0.0441971800000002,-140.5978841316,60.3110978810
"0",0.0444666750000002,-140.5978845396,60.3108283863
"0",0.0447361700000002,-140.5978849477,60.3105588916
"0",0.0450056650000002,-140.5978853557,60.3102893969
"0",0.0452751600000002,-140.5978666812,60.3100275347
"0",0.0455446550000002,-140.5976805371,60.3098326554
"0",0.0458141500000002,-140.5974148298,60.3098329113
"0",0.0460836450000002,-140.5971550396,60.3098925493
"0",0.0463531400000002,-140.5969009665,60.3099824071
"0",0.0466226350000002,-140.5966468934,60.3100722648
"0",0.0468921300000002,-140.5963855541,60.3101258290
"0",0.0471616250000002,-140.5961164703,60.3101407111
"0",0.0474311200000002,-140.5958473865,60.3101555933
"0",0.0477006150000002,-140.5955790427,60.3101770018
"0",0.0479701100000002,-140.5953134562,60.3102227336
"0",0.0482396050000002,-140.5950478698,60.3102684654
"0",0.0485091000000002,-140.5947822833,60.3103141972
"0",0.0487785950000002,-140.5945166969,60.3103599290
"0",0.0490480900000002,-140.5942511104,60.3104056607
"0",0.0493175850000002,-140.5939855240,60.3104513925
"0",0.0495870800000002,-140.5937199375,60.3104971243
"0",0.0498565750000002,-140.5934543511,60.3105428561
"0",0.0501260700000002,-140.5931887647,60.3105885879
"0",0.0503955650000002,-140.5929231782,60.3106343196
"0",0.0506650600000002,-140.5926566079,60.3106638620
"0",0.0509345550000002,-140.5923874379,60.3106506301
"0",0.0512040500000002,-140.5921182679,60.3106373983
"0",0.0514735450000002,-140.5918494255,60.3106219888
"0",0.0517430400000002,-140.5915882721,60.3105554570
"0",0.0520125350000002,-140.5913271188,60.3104889252
"0",0.0522820300000002,-140.5910698517,60.3104112256
"0",0.0525515250000002,-140.5908238142,60.3103012571
"0",0.0528210200000002,-140.5905777766,60.3101912886
"0",0.0530905150000002,-140.5903523122,60.3100446452
"0",0.0533600100000002,-140.5901302112,60.3098920062
"0",0.0536295050000002,-140.5899441105,60.3097203006
"0",0.0538990000000002,-140.5899426428,60.3094508096
"0",0.0541684950000002,-140.5899411751,60.3091813186
"0",0.0544379900000002,-140.5899397074,60.3089118276
"0",0.0547074850000002,-140.5899382397,60.3086423366
"0",0.0549769800000002,-140.5899367719,60.3083728456
"0",0.0552464750000002,-140.5898616002,60.3081260747
"0",0.0555159700000002,-140.5897110840,60.3079025296
"0",0.0557854650000002,-140.5896037329,60.3076653087
"0",0.0560549600000002,-140.5895980618,60.3073958734
"0",0.0563244550000002,-140.5895923907,60.3071264381
"0",0.0565939500000002,-140.5895867196,60.3068570028
"0",0.0568634450000002,-140.5895035259,60.3066083955
"0",0.0571329400000002,-140.5893734014,60.3063723972
"0",0.0574024350000002,-140.5892432770,60.3061363990
"0",0.0576719300000002,-140.5891131526,60.3059004007
"0",0.0579414250000002,-140.5889830281,60.3056644024
"0",0.0582109200000002,-140.5888960918,60.3054177086
"0",0.0584804150000002,-140.5889010423,60.3051482591
"0",0.0587499100000002,-140.5889059928,60.3048788096
"0",0.0590194050000002,-140.5889109433,60.3046093600
"0",0.0592889000000002,-140.5889856345,60.3043635281
"0",0.0595583950000002,-140.5891454238,60.3041465144
"0",0.0598278900000002,-140.5892523928,60.3039093094
"0",0.0600973850000002,-140.5892781081,60.3036410441
"0",0.0603668800000002,-140.5893038233,60.3033727788
"0",0.0606363750000002,-140.5894258180,60.3031407293
